type,from,to,properties_json
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C1,AI503-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI503-A3-RUBRIC,AI503-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C2,AI503-A3-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C2,AI503-A3-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C2,AI503-A3-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI503-A3-RUBRIC,AI503-A3-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C3,AI503-A3-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C3,AI503-A3-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI503-A3-RUBRIC-C3,AI503-A3-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI503-M3-MLO1,AI503-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M3-MLO2,AI503-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI503-M3-MLO3,AI503-A3,"{""weight"": 0.33}"
HAS_COURSE,MSCAI,AI504,"{""sequence"": 4}"
DEFINES_CLO,AI504,AI504-CLO1,{}
DEVELOPS,AI504-CLO1,SK-LLM-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO1,SK-RETRIEVAL-AUGMENTED-GENERATION,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO1,SK-AGENTIC-AI,"{""weight"": 0.33}"
DEFINES_CLO,AI504,AI504-CLO2,{}
DEVELOPS,AI504-CLO2,SK-LLM-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO2,SK-RETRIEVAL-AUGMENTED-GENERATION,"{""weight"": 0.33}"
DEFINES_CLO,AI504,AI504-CLO3,{}
DEVELOPS,AI504-CLO3,SK-LLM-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO3,SK-RETRIEVAL-AUGMENTED-GENERATION,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO3,SK-AGENTIC-AI,"{""weight"": 0.33}"
DEFINES_CLO,AI504,AI504-CLO4,{}
DEVELOPS,AI504-CLO4,SK-LLM-ENGINEERING,"{""weight"": 0.33}"
DEVELOPS,AI504-CLO4,SK-RETRIEVAL-AUGMENTED-GENERATION,"{""weight"": 0.33}"
HAS_MODULE,AI504,AI504-M1,"{""sequence"": 1}"
DEFINES_MLO,AI504-M1,AI504-M1-MLO1,{}
CONTRIBUTES_TO,AI504-M1-MLO1,AI504-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M1,AI504-M1-MLO2,{}
CONTRIBUTES_TO,AI504-M1-MLO2,AI504-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M1,AI504-M1-MLO3,{}
CONTRIBUTES_TO,AI504-M1-MLO3,AI504-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI504-M1,AI504-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI504-M1-L1,AI504-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI504-M1,AI504-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI504-M1-L2,AI504-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI504-A1,AI504-A1-RUBRIC,{}
HAS_CRITERION,AI504-A1-RUBRIC,AI504-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C1,AI504-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C1,AI504-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C1,AI504-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI504-A1-RUBRIC,AI504-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C2,AI504-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C2,AI504-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C2,AI504-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI504-A1-RUBRIC,AI504-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C3,AI504-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C3,AI504-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A1-RUBRIC-C3,AI504-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI504-M1-MLO1,AI504-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M1-MLO2,AI504-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M1-MLO3,AI504-A1,"{""weight"": 0.33}"
HAS_MODULE,AI504,AI504-M2,"{""sequence"": 2}"
DEFINES_MLO,AI504-M2,AI504-M2-MLO1,{}
CONTRIBUTES_TO,AI504-M2-MLO1,AI504-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M2,AI504-M2-MLO2,{}
CONTRIBUTES_TO,AI504-M2-MLO2,AI504-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M2,AI504-M2-MLO3,{}
CONTRIBUTES_TO,AI504-M2-MLO3,AI504-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI504-M2,AI504-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI504-M2-L1,AI504-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI504-M2,AI504-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI504-M2-L2,AI504-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI504-A2,AI504-A2-RUBRIC,{}
HAS_CRITERION,AI504-A2-RUBRIC,AI504-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C1,AI504-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C1,AI504-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C1,AI504-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI504-A2-RUBRIC,AI504-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C2,AI504-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C2,AI504-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C2,AI504-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI504-A2-RUBRIC,AI504-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C3,AI504-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C3,AI504-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A2-RUBRIC-C3,AI504-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI504-M2-MLO1,AI504-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M2-MLO2,AI504-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M2-MLO3,AI504-A2,"{""weight"": 0.33}"
HAS_MODULE,AI504,AI504-M3,"{""sequence"": 3}"
DEFINES_MLO,AI504-M3,AI504-M3-MLO1,{}
CONTRIBUTES_TO,AI504-M3-MLO1,AI504-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M3,AI504-M3-MLO2,{}
CONTRIBUTES_TO,AI504-M3-MLO2,AI504-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI504-M3,AI504-M3-MLO3,{}
CONTRIBUTES_TO,AI504-M3-MLO3,AI504-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI504-M3,AI504-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI504-M3-L1,AI504-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI504-M3,AI504-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI504-M3-L2,AI504-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI504-A3,AI504-A3-RUBRIC,{}
HAS_CRITERION,AI504-A3-RUBRIC,AI504-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C1,AI504-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C1,AI504-A3-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C1,AI504-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI504-A3-RUBRIC,AI504-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C2,AI504-A3-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C2,AI504-A3-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C2,AI504-A3-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI504-A3-RUBRIC,AI504-A3-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C3,AI504-A3-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C3,AI504-A3-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI504-A3-RUBRIC-C3,AI504-A3-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI504-M3-MLO1,AI504-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M3-MLO2,AI504-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI504-M3-MLO3,AI504-A3,"{""weight"": 0.33}"
HAS_COURSE,MSCAI,AI505,"{""sequence"": 5}"
DEFINES_CLO,AI505,AI505-CLO1,{}
DEVELOPS,AI505-CLO1,SK-COMPUTER-VISION,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO1,SK-IMAGE-ANALYSIS,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO1,SK-VISION-MODEL-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI505,AI505-CLO2,{}
DEVELOPS,AI505-CLO2,SK-COMPUTER-VISION,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO2,SK-IMAGE-ANALYSIS,"{""weight"": 0.33}"
DEFINES_CLO,AI505,AI505-CLO3,{}
DEVELOPS,AI505-CLO3,SK-COMPUTER-VISION,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO3,SK-IMAGE-ANALYSIS,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO3,SK-VISION-MODEL-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI505,AI505-CLO4,{}
DEVELOPS,AI505-CLO4,SK-COMPUTER-VISION,"{""weight"": 0.33}"
DEVELOPS,AI505-CLO4,SK-IMAGE-ANALYSIS,"{""weight"": 0.33}"
HAS_MODULE,AI505,AI505-M1,"{""sequence"": 1}"
DEFINES_MLO,AI505-M1,AI505-M1-MLO1,{}
CONTRIBUTES_TO,AI505-M1-MLO1,AI505-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M1,AI505-M1-MLO2,{}
CONTRIBUTES_TO,AI505-M1-MLO2,AI505-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M1,AI505-M1-MLO3,{}
CONTRIBUTES_TO,AI505-M1-MLO3,AI505-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI505-M1,AI505-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI505-M1-L1,AI505-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI505-M1,AI505-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI505-M1-L2,AI505-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI505-A1,AI505-A1-RUBRIC,{}
HAS_CRITERION,AI505-A1-RUBRIC,AI505-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C1,AI505-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C1,AI505-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C1,AI505-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI505-A1-RUBRIC,AI505-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C2,AI505-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C2,AI505-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C2,AI505-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI505-A1-RUBRIC,AI505-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C3,AI505-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C3,AI505-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A1-RUBRIC-C3,AI505-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI505-M1-MLO1,AI505-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M1-MLO2,AI505-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M1-MLO3,AI505-A1,"{""weight"": 0.33}"
HAS_MODULE,AI505,AI505-M2,"{""sequence"": 2}"
DEFINES_MLO,AI505-M2,AI505-M2-MLO1,{}
CONTRIBUTES_TO,AI505-M2-MLO1,AI505-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M2,AI505-M2-MLO2,{}
CONTRIBUTES_TO,AI505-M2-MLO2,AI505-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M2,AI505-M2-MLO3,{}
CONTRIBUTES_TO,AI505-M2-MLO3,AI505-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI505-M2,AI505-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI505-M2-L1,AI505-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI505-M2,AI505-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI505-M2-L2,AI505-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI505-A2,AI505-A2-RUBRIC,{}
HAS_CRITERION,AI505-A2-RUBRIC,AI505-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C1,AI505-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C1,AI505-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C1,AI505-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI505-A2-RUBRIC,AI505-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C2,AI505-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C2,AI505-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C2,AI505-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI505-A2-RUBRIC,AI505-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C3,AI505-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C3,AI505-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A2-RUBRIC-C3,AI505-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI505-M2-MLO1,AI505-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M2-MLO2,AI505-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M2-MLO3,AI505-A2,"{""weight"": 0.33}"
HAS_MODULE,AI505,AI505-M3,"{""sequence"": 3}"
DEFINES_MLO,AI505-M3,AI505-M3-MLO1,{}
CONTRIBUTES_TO,AI505-M3-MLO1,AI505-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M3,AI505-M3-MLO2,{}
CONTRIBUTES_TO,AI505-M3-MLO2,AI505-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI505-M3,AI505-M3-MLO3,{}
CONTRIBUTES_TO,AI505-M3-MLO3,AI505-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI505-M3,AI505-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI505-M3-L1,AI505-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI505-M3,AI505-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI505-M3-L2,AI505-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI505-A3,AI505-A3-RUBRIC,{}
HAS_CRITERION,AI505-A3-RUBRIC,AI505-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C1,AI505-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C1,AI505-A3-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C1,AI505-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI505-A3-RUBRIC,AI505-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C2,AI505-A3-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C2,AI505-A3-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C2,AI505-A3-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI505-A3-RUBRIC,AI505-A3-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C3,AI505-A3-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C3,AI505-A3-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI505-A3-RUBRIC-C3,AI505-A3-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI505-M3-MLO1,AI505-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M3-MLO2,AI505-A3,"{""weight"": 0.33}"
ASSESSED_BY,AI505-M3-MLO3,AI505-A3,"{""weight"": 0.33}"
HAS_COURSE,MSCAI,AI506,"{""sequence"": 6}"
DEFINES_CLO,AI506,AI506-CLO1,{}
DEVELOPS,AI506-CLO1,SK-NATURAL-LANGUAGE-PROCESSING,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO1,SK-TEXT-ANALYTICS,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO1,SK-NLP-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI506,AI506-CLO2,{}
DEVELOPS,AI506-CLO2,SK-NATURAL-LANGUAGE-PROCESSING,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO2,SK-TEXT-ANALYTICS,"{""weight"": 0.33}"
DEFINES_CLO,AI506,AI506-CLO3,{}
DEVELOPS,AI506-CLO3,SK-NATURAL-LANGUAGE-PROCESSING,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO3,SK-TEXT-ANALYTICS,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO3,SK-NLP-ENGINEERING,"{""weight"": 0.33}"
DEFINES_CLO,AI506,AI506-CLO4,{}
DEVELOPS,AI506-CLO4,SK-NATURAL-LANGUAGE-PROCESSING,"{""weight"": 0.33}"
DEVELOPS,AI506-CLO4,SK-TEXT-ANALYTICS,"{""weight"": 0.33}"
HAS_MODULE,AI506,AI506-M1,"{""sequence"": 1}"
DEFINES_MLO,AI506-M1,AI506-M1-MLO1,{}
CONTRIBUTES_TO,AI506-M1-MLO1,AI506-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M1,AI506-M1-MLO2,{}
CONTRIBUTES_TO,AI506-M1-MLO2,AI506-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M1,AI506-M1-MLO3,{}
CONTRIBUTES_TO,AI506-M1-MLO3,AI506-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI506-M1,AI506-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI506-M1-L1,AI506-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI506-M1,AI506-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI506-M1-L2,AI506-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI506-A1,AI506-A1-RUBRIC,{}
HAS_CRITERION,AI506-A1-RUBRIC,AI506-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C1,AI506-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C1,AI506-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C1,AI506-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI506-A1-RUBRIC,AI506-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C2,AI506-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C2,AI506-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C2,AI506-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI506-A1-RUBRIC,AI506-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C3,AI506-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C3,AI506-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A1-RUBRIC-C3,AI506-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI506-M1-MLO1,AI506-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI506-M1-MLO2,AI506-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI506-M1-MLO3,AI506-A1,"{""weight"": 0.33}"
HAS_MODULE,AI506,AI506-M2,"{""sequence"": 2}"
DEFINES_MLO,AI506-M2,AI506-M2-MLO1,{}
CONTRIBUTES_TO,AI506-M2-MLO1,AI506-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M2,AI506-M2-MLO2,{}
CONTRIBUTES_TO,AI506-M2-MLO2,AI506-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M2,AI506-M2-MLO3,{}
CONTRIBUTES_TO,AI506-M2-MLO3,AI506-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI506-M2,AI506-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI506-M2-L1,AI506-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI506-M2,AI506-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI506-M2-L2,AI506-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI506-A2,AI506-A2-RUBRIC,{}
HAS_CRITERION,AI506-A2-RUBRIC,AI506-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C1,AI506-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C1,AI506-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C1,AI506-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI506-A2-RUBRIC,AI506-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C2,AI506-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C2,AI506-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C2,AI506-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI506-A2-RUBRIC,AI506-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C3,AI506-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C3,AI506-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A2-RUBRIC-C3,AI506-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI506-M2-MLO1,AI506-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI506-M2-MLO2,AI506-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI506-M2-MLO3,AI506-A2,"{""weight"": 0.33}"
HAS_MODULE,AI506,AI506-M3,"{""sequence"": 3}"
DEFINES_MLO,AI506-M3,AI506-M3-MLO1,{}
CONTRIBUTES_TO,AI506-M3-MLO1,AI506-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M3,AI506-M3-MLO2,{}
CONTRIBUTES_TO,AI506-M3-MLO2,AI506-CLO4,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI506-M3,AI506-M3-MLO3,{}
CONTRIBUTES_TO,AI506-M3-MLO3,AI506-CLO1,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI506-M3,AI506-M3-L1,"{""sequence"": 1}"
ADDRESSES,AI506-M3-L1,AI506-M3-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI506-M3,AI506-M3-L2,"{""sequence"": 2}"
ADDRESSES,AI506-M3-L2,AI506-M3-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI506-A3,AI506-A3-RUBRIC,{}
HAS_CRITERION,AI506-A3-RUBRIC,AI506-A3-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI506-A3-RUBRIC-C1,AI506-A3-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI506-A3-RUBRIC-C1,AI506-A3-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI506-A3-RUBRIC-C1,AI506-A3-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI506-A3-RUBRIC,AI506-A3-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI506-A3-RUBRIC-C2,AI506-A3-RUBRIC-C2-DEVELOPING,{}
